ID	parentID	basionymID	status	rank	scientificName	authorship	nameStatus	nameReferenceID	namePublishedInYear	namePublishedInPage	namePublishedInPageLink	referenceID	scrutinizer	scrutinizerDate	extinct	temporalRangeStart	temporalRangeEnd	remarks
ZOBO00034619	ZOBO00034616		accepted	subspecies	Parodynerus quodi lifuensis	Giordani Soika, 1957		ZOBO00034610					Gusenleitner J.	2011-11	f			
ZOBO00034620	ZOBO00034616		accepted	subspecies	Parodynerus quodi malekulensis	Giordani Soika, 1971		ZOBO00032850					Gusenleitner J.	2011-11	f			
ZOBO00034686	xHQ		accepted	species	Polistepipona graciliventris	(Giordani Soika, 1950)		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00154048	ZOBO00034686		accepted	subspecies	Polistepipona graciliventris graciliventris	(Giordani Soika, 1950)		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034687	ZOBO00034686		accepted	subspecies	Polistepipona graciliventris octomaculata	Giordani Soika, 1989		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034689	ZOBO00034688		accepted	subspecies	Polistepipona polistiformis jonesi	(Giordani Soika, 1950)		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034690	ZOBO00034688		accepted	subspecies	Polistepipona polistiformis polisticolor	Giordani Soika, 1989		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00154049	ZOBO00034688		accepted	subspecies	Polistepipona polistiformis polistiformis	(Giordani Soika, 1950)		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00036453	x58		accepted	species	Polistes africanus	Pal. de Beauv.		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00010014	x58		accepted	species	Polistes associus	Kohl, 1898		ZOBO00010014					Gusenleitner J.	2011-11	f			
ZOBO00010017	x58		accepted	species	Polistes atrimandibularis	(Zimmermann, 1930)		ZOBO00010009					Gusenleitner J.	2011-11	f			
ZOBO00036331	x58		accepted	species	Polistes badius	Gerst., 1873		ZOBO00031812					Gusenleitner J.	2011-11	f			
