col:taxonID	col:sourceID	col:areaID	col:area	col:gazetteer	col:status	col:referenceID	col:remarks
ZOBO00035355			NPL	text	native		
ZOBO00035351			USA	text	native		
ZOBO00035369			TWN	text	native		
ZOBO00035371			RUS	text	native		
ZOBO00035365			RUS	text	native		
ZOBO00035366			CHN	text	native		
ZOBO00035363			CAN	text	native		
ZOBO00035359			CAN USA	text	native		
ZOBO00035380			KAZ	text	native		
ZOBO00035382			IND	text	native		
ZOBO00035383			NPL	text	native		
ZOBO00035372			KAZ	text	native		
ZOBO00035376			MAR	text	native		
ZOBO00043943			KEN	text	native		
ZOBO00035293			ZAF	text	native		
ZOBO00035296			ZAF	text	native		
ZOBO00035288			ZAF	text	native		
ZOBO00035325			ZAF	text	native		
ZOBO00035327			KEN	text	native		
ZOBO00035305			NAM	text	native		
ZOBO00039730			KEN	text	native		
ZOBO00039740			KEN SDN	text	native		
ZOBO00032777			ETH KEN	text	native		
ZOBO00032775			IRN	text	native		
ZOBO00032755			CMR TZA	text	native		
ZOBO00032756			AUT ISR JOR	text	native		
ZOBO00032752			ISR	text	native		
ZOBO00032770			IND	text	native		
ZOBO00032762			MAR TUN	text	native		
ZOBO00153854			KEN	text	native		
ZOBO00037450			NAM	text	native		
ZOBO00037463			KEN	text	native		
ZOBO00039739			CHL TGO	text	native		
ZOBO00035500			ZAF	text	native		
ZOBO00043935			IND	text	native		
ZOBO00032609			PHL	text	native		
ZOBO00032610			CHN TWN	text	native		
ZOBO00037282			NPL	text	native		
ZOBO00037281			CHN HKG	text	native		
ZOBO00032614			HKG IDN LAO MYS THA UZB	text	native		
ZOBO00032615			IDN	text	native		
ZOBO00043911			ZMB	text	native		
ZOBO00034671			IDN	text	native		
ZOBO00039734			NAM	text	native		
ZOBO00032713			KEN	text	native		
ZOBO00039741			ETH YEM	text	native		
ZOBO00034014			KEN	text	native		
ZOBO00034016			KEN TZA ZAF ZMB	text	native		
ZOBO00035918			ETH	text	native		
ZOBO00035915			MDG	text	native		
ZOBO00035922			CMR	text	native		
ZOBO00035924			KEN	text	native		
ZOBO00035927			MDG	text	native		
ZOBO00035932			CMR	text	native		
ZOBO00035906			NAM ZAF	text	native		
ZOBO00035902			CAF CMR COD ETH GIN GMB TGO YEM	text	native		
ZOBO00035896			MDG	text	native		
ZOBO00035893			TZA	text	native		
ZOBO00035877			CMR	text	native		
ZOBO00035884			GIN MWI	text	native		
ZOBO00035870			MDG	text	native		
ZOBO00035861			YEM	text	native		
ZOBO00035866			YEM	text	native		
ZOBO00032181			PER	text	native		
ZOBO00032178			BRA	text	native		
ZOBO00032173			GUF TTO	text	native		
ZOBO00032174			PHL	text	native		
ZOBO00033521			ESP	text	native		
ZOBO00039762			ISR	text	native		
ZOBO00037108			AUT	text	native		
ZOBO00032895			IDN	text	native		
ZOBO00032897			TWN	text	native		
ZOBO00032888			CMR	text	native		
ZOBO00032887			IDN	text	native		
ZOBO00037662			COD	text	native		
ZOBO00037663			ZAF	text	native		
ZOBO00035410			TZA	text	native		
ZOBO00037467			ETH KEN TZA	text	native		
ZOBO00031760			ZAF	text	native		
ZOBO00032138			NAM	text	native		
ZOBO00032136			BWA ZAF ZMB	text	native		
ZOBO00031721			FRA ITA MAR	text	native		
ZOBO00033286			CYP ESP GRC HUN IRN ITA JOR KGZ LBN PRT SYR TUR UKR	text	native		
ZOBO00033287			ESP	text	native		
ZOBO00033288			KAZ	text	native		
ZOBO00033302			CHL COD SEN	text	native		
ZOBO00033306			KAZ	text	native		
ZOBO00033303			EGY	text	native		
